q	a	thinking	breakdown
Seek to the program counter	sr PC	"
When working with debuggers or analyzing programs, we often need to move our cursor to where the program execution currently is - the Program Counter (PC). This is a common operation when debugging to see what instruction is about to be executed.

Looking at the command set, we need to use the seek command (s) since we want to move the cursor. But we specifically want to seek to a register value, which suggests using the 'sr' variant of seek. The PC parameter tells it which register to use as the target address.
"	"
[
  {
    ""part"": ""s"", 
    ""category"": ""seek"",
    ""desc"": ""Base seek command - tells r2 we want to move the cursor""
  },
  {
    ""part"": ""r"",
    ""category"": ""register"", 
    ""desc"": ""Specifies we want to seek to a register's value""
  },
  {
    ""part"": ""<PC>"",
    ""category"": ""arguments"",
    ""desc"": ""The name of the register we want to seek to - Program Counter""
  }
]
"
Seek 3 instructions forward	so 3	"
When we need to move the seek position based on instructions rather than bytes, we need a command that understands instruction boundaries. The seek command 's' is the base command for moving around, but we need a variant that works with opcodes. Looking at the seek help, we find 'so' which seeks by opcode count. Since we want to move forward 3 instructions, we simply append the number 3.
"	"
[
    {
        ""part"": ""s"",
        ""category"": ""seek"",
        ""desc"": ""base seek command for changing current position""
    },
    {
        ""cmd"": ""o"",
        ""category"": ""opcode"",
        ""desc"": ""specifies we want to seek by opcode count rather than bytes""
    },
    {
        ""cmd"": ""<3>"",
        ""category"": ""argument"",
        ""desc"": ""number of opcodes to seek forward""
    }
]
"
Temporal seek to the program counter and show the 32 bytes in hexpairs	p8 32 @r:PC	"
We need to read some bytes at the program counter (PC) register. This requires two things:
1. We need to read bytes and show them in hexadecimal format
2. We need to do this at the PC location, but only temporarily (not changing our current seek)

The command needs to:
- Print bytes in hex format
- Use a temporary seek to the PC register value
- Specify how many bytes we want to see (32)

This leads us to use p8 for hex byte printing with a temporary seek using @ and accessing the register value using r:
"	"
[
  {
    ""part"": ""p"", 
    ""category"": ""print"",
    ""desc"": ""print command is needed to output data""
  },
  {
    ""part"": ""8"",
    ""category"": ""format"",
    ""desc"": ""print bytes in hexpairs format""
  },
  {
    ""part"": ""<32>"",
    ""category"": ""count"",
    ""desc"": ""number of bytes to print""
  },
  {
    ""part"": ""@"",
    ""category"": ""temporary_seek"",
    ""desc"": ""perform temporary seek without changing current position""
  },
  {
    ""part"": ""r:"",
    ""category"": ""register"",
    ""desc"": ""access register value""
  },
  {
    ""part"": ""<PC>"",
    ""category"": ""register_name"",
    ""desc"": ""specify the Program Counter register""
  }
]
"
Set the value 0x8822 to the `rax` register	dr rax=0x8822	"
To modify a register's value, we need to use the debug register commands. Since we want to set a specific value, we need the basic register manipulation command followed by the register name and value. The format for setting register values is straightforward - register name followed by equals sign and the value.
"	"
[
    {
        ""part"": ""d"",
        ""category"": ""debug"",
        ""desc"": ""debug commands are needed to interact with registers""
    },
    {
        ""part"": ""r"",
        ""category"": ""registers"",
        ""desc"": ""register manipulation subcommand""
    },
    {
        ""part"": ""<rax=0x8822>"",
        ""category"": ""arguments"",
        ""desc"": ""register name followed by equals and hex value to set""
    }
]
"
List all the register names	drl	"
We need to list register names. This is related to debugging and register operations. Looking at the help, we can see that 'dr' is the base command for register operations. Since we specifically want to list names, we need a modifier that focuses on listing. The 'l' modifier is commonly used for listing in r2, and checking the dr help shows 'drl' is exactly what we need to ""list all register names"".
"	"
[
  {
    ""part"": ""d"",
    ""category"": ""debug"",
    ""desc"": ""debug commands are used for register operations""
  },
  {
    ""part"": ""r"",
    ""category"": ""registers"",
    ""desc"": ""register subcommands to work with CPU registers""
  },
  {
    ""part"": ""l"",
    ""category"": ""list"",
    ""desc"": ""list modifier to show all register names""
  }
]
"
Which strings are used in the current function?	"pdsf~"""	"
To find strings in the current function, we need a command that:
1. Works with functions ('f' is often used for function-related operations)
2. Shows summary/strings information ('s' is often used for strings)
3. Can be filtered to show only strings ('~' is used for grep/filtering)

Looking at the help, 'pds' is for ""print disasm summary"", and 'pdsf' specifically shows function summary including strings. The '~""' at the end filters to show only the lines containing quotes, which effectively shows only the strings.
"	"
[
  {
    ""part"": ""p"", 
    ""category"": ""print"",
    ""desc"": ""Print command - the base for most output commands""
  },
  {
    ""part"": ""d"",
    ""category"": ""disassembly"",
    ""desc"": ""Disassembly context - we want to analyze code""
  },
  {
    ""part"": ""s"",
    ""category"": ""summary"",
    ""desc"": ""Summary mode - gives us overview information""
  },
  {
    ""part"": ""f"",
    ""category"": ""function"",
    ""desc"": ""Function context - limit analysis to current function""
  },
  {
    ""part"": ""~\"""",
    ""category"": ""filter"",
    ""desc"": ""Grep filter for quotes - shows only lines with strings""
  }
]
"
How can I read the contents of the file /etc/motd	cat /etc/motd	"
You want to read the contents of a file, which in Unix-like systems is commonly done with 'cat'. In radare2, there's a similar command for reading files. Looking through the command reference, I see that under the 'm' (mountpoints) commands there's 'mc' which is specifically described as ""cat: Show the contents of the given file"". This is exactly what we need for reading /etc/motd.
"	"
[
  {
    ""part"": ""m"", 
    ""category"": ""mountpoints"",
    ""desc"": ""mountpoints management commands are used for file operations""
  },
  {
    ""part"": ""c"",
    ""category"": ""cat"",
    ""desc"": ""show contents, similar to Unix cat command""
  },
  {
    ""part"": ""</etc/motd>"",
    ""category"": ""argument"",
    ""desc"": ""path to the file we want to read""
  }
]
"
What's the operating system running in the host machine?	uname	"
When we need system information about the host machine, the standard Unix/Linux command is 'uname'. Since radare2 provides a wrapper around system commands, it makes sense to use the 'uname' command directly. This will show the operating system name, which is exactly what we're looking for. The command is straightforward and doesn't need any additional flags since we just want the basic OS information.
"	"
[{
    ""part"": ""uname"",
    ""category"": ""system"",
    ""desc"": ""Unix command to display system information, specifically the operating system name in this basic form""
}]
"
Retrieve host machine details in JSON format	uname -j	"
Looking at the question, we need system information about the host machine, and specifically want it in JSON format. The 'uname' command is the standard Unix/Linux way to get system information, and since we want JSON output, we'll need a flag for that. Looking at the uname help in radare2, I see there's a -j flag specifically for JSON output. This makes perfect sense as it's a common pattern in radare2 to use -j for JSON output across many commands.
"	"
[
  {
    ""part"": ""uname"", 
    ""category"": ""system"",
    ""desc"": ""base command to show system information""
  },
  {
    ""part"": ""-j"",
    ""category"": ""output_format"",
    ""desc"": ""flag to specify JSON output format""
  }
]
"
Host architecture	uname -a	"
When looking for system information about the host architecture, we need a command that queries system details. The 'uname' command is a standard Unix command for this purpose, and radare2 provides a wrapper for it. Looking through the help, we can see that 'u' command has a subcommand for uname with various options, where -a shows ""all"" system details, which is exactly what we need.
"	"
[
  {
    ""part"": ""u"", 
    ""category"": ""system"",
    ""desc"": ""system-related commands, including uname functionality""
  },
  {
    ""part"": ""name"",
    ""category"": ""system info"",
    ""desc"": ""specific subcommand for system information""
  },
  {
    ""part"": ""-a"",
    ""category"": ""arguments"",
    ""desc"": ""flag to show all system information details""
  }
]
"
Increase the current buffer block by 1 byte	b+1	"
To modify the block size in radare2, we need to use the block size commands. Since we want to increase it by 1 byte, we need a command that can increment the current block size. Looking at the block size commands (b), we can see there's a syntax that allows incrementing using + followed by the number of bytes. This is exactly what we need - increase the current block size by 1 byte.
"	"
[
    {
        ""part"": ""b"", 
        ""category"": ""block"",
        ""desc"": ""block size command - controls working block size""
    },
    {
        ""part"": ""+"",
        ""category"": ""operator"",
        ""desc"": ""increment operator for block size""
    },
    {
        ""part"": ""<1>"",
        ""category"": ""argument"",
        ""desc"": ""number of bytes to increase block size by""
    }
]
"
Change the buffer block size to 128	b 128	"
To change the buffer block size, I need a command that deals with block operations. The block size is a fundamental concept in radare2 that determines how many bytes are processed at once for various operations like printing, analyzing, etc. Looking at the command list, 'b' is the dedicated command for block size operations. Since we want to set it to a specific value (128), we can directly append that number.
"	"
[
  {
    ""part"": ""b"",
    ""category"": ""block"",
    ""desc"": ""block size command - the main command for manipulating the working block size""
  },
  {
    ""part"": ""<128>"",
    ""category"": ""arguments"",
    ""desc"": ""numeric value to set the new block size in bytes""
  }
]
"
Determine the current block size	b	"
When working with binary analysis, we often need to know how many bytes we're working with in the current block. The block size is a fundamental concept in radare2 that determines how many bytes are processed in various operations. The question asks for the current block size, which suggests we need a command that will display this value rather than set it. Looking through the command set, 'b' without any arguments is the most direct way to show the current block size.
"	"
[{
    ""part"": ""b"",
    ""category"": ""block"",
    ""desc"": ""The 'b' command alone shows the current block size. This is the simplest form of the block size command, which when used without arguments acts as a getter rather than a setter""
}]
"
Size of the current basic block	?vi $b	"
To get the size of the current basic block, we need a command that will print a value ($b) as a number. The $b is a special variable in radare2 that represents the current block size.

Looking at the command list, we see that ?v is used to compute expressions and show their values. The 'i' modifier makes it show the value as a decimal number (integer).

So we need to print the value of the block size variable ($b) as an integer.
"	"
[
  {
    ""part"": ""?"",
    ""category"": ""help/evaluate"",
    ""desc"": ""evaluate expressions and values""
  },
  {
    ""cmd"": ""v"",
    ""category"": ""value"",
    ""desc"": ""show value/result of expression""
  },
  {
    ""cmd"": ""i"",
    ""category"": ""integer"",
    ""desc"": ""format output as decimal integer""
  },
  {
    ""cmd"": ""<$b>"",
    ""category"": ""variable"",
    ""desc"": ""special variable representing current block size""
  }
]
"
Current working directory	pwd	"
When looking for a command to show the current working directory, it's natural to think of the standard Unix/Linux command 'pwd' (Print Working Directory). Since radare2 aims to provide familiar command-line experience and often mirrors common shell commands, it makes sense that they would implement 'pwd' in the same way. Looking through the command list, I can see it's directly supported as a basic command under the 'p' (print) family of commands.
"	"
[{
    ""part"": ""p"", 
    ""category"": ""print"",
    ""desc"": ""print commands are used for displaying information""
}, {
    ""part"": ""w"",
    ""category"": ""working"",
    ""desc"": ""specifies we want information about the working context""
}, {
    ""part"": ""d"",
    ""category"": ""directory"",
    ""desc"": ""indicates we want the current directory path""
}]
"
Analyze all functions referenced from a CALL instruction	aac	"
When analyzing a binary, one of the key tasks is understanding function relationships through call instructions. We need to find all the functions that are being called from other functions. This requires analyzing cross-references created by CALL instructions.

The task needs an analysis command (starting with 'a') that specifically looks at calls. Since we want it automated and focused on calls, 'aac' makes sense - it will analyze all cross-references created by call instructions to identify and create functions at the target addresses.
"	"
[
  {
    ""part"": ""a"", 
    ""category"": ""analysis"",
    ""desc"": ""Analysis command - we need to analyze something""
  },
  {
    ""part"": ""a"",
    ""category"": ""analysis"",
    ""desc"": ""Additional 'a' indicates we want automated analysis""
  },
  {
    ""part"": ""c"",
    ""category"": ""calls"",
    ""desc"": ""Specifies we want to analyze function calls specifically""
  }
]
"
Find all functions calling `system`	axt	"
To find functions calling a specific function like 'system', we need to analyze cross-references (xrefs). Since we want to find who is calling this function, we need to find references TO this address. The command should search through the analyzed code and show us which functions are making calls to 'system'.

The natural thought process would be:
1. We need cross-references (x)
2. We want to find references TO an address (t)
3. We want to analyze (a) these references

This leads us to combine these requirements into a command that looks for cross-references to a given address.
"	"
[
  {
    ""part"": ""a"",
    ""category"": ""analysis"",
    ""desc"": ""we start with analysis commands since we're looking through analyzed code""
  },
  {
    ""part"": ""x"",
    ""category"": ""xrefs"",
    ""desc"": ""cross-references are needed to find relationships between functions""
  },
  {
    ""part"": ""t"",
    ""category"": ""to"",
    ""desc"": ""specifically we want references TO our target function (vs 'from' with f)""
  }
]
"
Which functions are calling exit?	axtf sym.imp.exit	"
To find functions calling exit(), we need to:
1. First locate references to the exit symbol (cross references)
2. But specifically we want function-level references, not just any reference
3. The command should combine cross-reference analysis with function filtering

The command builds up naturally:
- ax for cross references
- t to find references TO the target
- f to filter for function-level references only
- Then specify the target symbol sym.imp.exit
"	"
[
  {
    ""part"": ""ax"", 
    ""category"": ""analysis"",
    ""desc"": ""cross reference command to find code/data references""
  },
  {
    ""part"": ""t"",
    ""category"": ""references"", 
    ""desc"": ""find references TO the target (vs from)""
  },
  {
    ""part"": ""f"",
    ""category"": ""functions"",
    ""desc"": ""filter to only show function-level references""
  },
  {
    ""part"": ""<sym.imp.exit>"",
    ""category"": ""arguments"",
    ""desc"": ""the exit() function import symbol to find references to""
  }
]
"
List all syscalls matching by name 	/asl~write	"
To find syscalls by name, I need to first understand what syscalls are available in the current architecture, then filter them to show only the ones matching a specific name pattern.

The 'as' command family deals with syscalls in radare2. To list syscalls I need 'asl' which shows all syscalls for the current architecture. But I want to filter this list to only show entries containing ""write"", so I need to pipe the output through grep using the '~' operator.
"	"
[
  {
    ""part"": ""a"", 
    ""category"": ""analysis"",
    ""desc"": ""analysis commands are used to extract information from the binary""
  },
  {
    ""part"": ""s"",
    ""category"": ""syscall"",
    ""desc"": ""syscall subcommands for analyzing system calls""
  },
  {
    ""part"": ""l"",
    ""category"": ""list"",
    ""desc"": ""list all syscalls for current architecture""
  },
  {
    ""part"": ""~"",
    ""category"": ""grep"",
    ""desc"": ""filter output using internal grep""
  },
  {
    ""part"": ""<write>"",
    ""category"": ""argument"",
    ""desc"": ""pattern to search for in syscall names""
  }
]
"
List config vars in JSON format	ej	"
Looking at this question, we need to display configuration variables in a machine-readable format. Since we need JSON output, we'll need a command that deals with configuration variables (which start with 'e' in radare2) and then specify JSON output (which is typically done with 'j' in radare2).

The 'e' command is used to manage evaluable variables (config vars), and adding 'j' will give us JSON output. This is a common pattern in radare2 where adding 'j' to a command produces JSON output.
"	"
[
  {
    ""part"": ""e"",
    ""category"": ""eval"",
    ""desc"": ""The base command for managing configuration variables""
  },
  {
    ""part"": ""j"",
    ""category"": ""output"",
    ""desc"": ""Modifier to output the results in JSON format""
  }
]
"
Change the local variable named `counter` to use the type `int32_t`	afvt counter int32_t	"
We need to modify a local variable's type in the current function. This is an analysis operation since we're working with function variables. The command should start with 'af' for analysis of functions. Since we're dealing with variables, we add 'v'. Finally, we want to change the type, so 't' makes sense. Then we specify the variable name and its new type.
"	"
[
  {
    ""part"": ""af"",
    ""category"": ""analysis_function"",
    ""desc"": ""analysis command specifically for functions""
  },
  {
    ""cmd"": ""v"",
    ""category"": ""variables"",
    ""desc"": ""operate on function variables""
  },
  {
    ""cmd"": ""t"",
    ""category"": ""type"",
    ""desc"": ""change type of variable""
  },
  {
    ""cmd"": ""<counter>"",
    ""category"": ""arguments"",
    ""desc"": ""name of variable to modify""
  },
  {
    ""cmd"": ""<int32_t>"",
    ""category"": ""arguments"",
    ""desc"": ""new type to assign to the variable""
  }
]
"
Show the type for the local variable named `counter`	afvt argv	"
Looking at the question, we need to find out the type of a local variable named 'counter'. This involves working with function variables, specifically changing or displaying their types.

The command needs to:
1. Work with function variables (afv)
2. Deal with types (t)
3. Target a specific variable name (counter)

The command `afvt` is perfect for this as it's specifically designed to change/show types for function variables. The format is `afvt <varname>`, where varname is the variable we want to inspect.
"	"
[
    {
        ""part"": ""a"",
        ""category"": ""analysis"",
        ""desc"": ""analysis commands are used for analyzing code and data""
    },
    {
        ""part"": ""f"",
        ""category"": ""function"",
        ""desc"": ""function-specific commands""
    },
    {
        ""part"": ""v"",
        ""category"": ""variables"",
        ""desc"": ""deals with function variables""
    },
    {
        ""part"": ""t"",
        ""category"": ""types"",
        ""desc"": ""type-related operations on variables""
    },
    {
        ""part"": ""<argv>"",
        ""category"": ""argument"",
        ""desc"": ""the name of the variable whose type we want to see""
    }
]
"
How do I list all function arguments for `main`?	afv~^arg	"
To list function arguments for main, I need to:
1. First analyze the function variables - that's what afv does
2. Then I need to filter the output to only show arguments
3. The ~ operator is for grep/filtering
4. The ^arg pattern will match lines starting with ""arg""

This makes sense because function arguments are stored as variables within a function's scope, and afv shows all function variables. The grep filter ensures we only see the argument-related entries.
"	"
[
  {
    ""part"": ""af"", 
    ""category"": ""analysis"",
    ""desc"": ""analyze function command group""
  },
  {
    ""part"": ""v"",
    ""category"": ""variables"",
    ""desc"": ""show function variables/args/locals""
  },
  {
    ""part"": ""~"",
    ""category"": ""filter"",
    ""desc"": ""grep operator to filter output""
  },
  {
    ""part"": ""^arg"",
    ""category"": ""pattern"",
    ""desc"": ""regex pattern to match lines starting with 'arg'""
  }
]
"
How do I list all basic block references?	abl	"
When working with basic blocks in reverse engineering, you often need to see how they're connected and what references exist between them. The question asks for listing all basic block references, which suggests we need a command that deals with basic block analysis and specifically listing references. Since we're dealing with basic blocks, we'll want to use the 'ab' (analyze basic block) command family, and since we want a list of references, 'l' for list makes sense.
"	"
[
    {
        ""part"": ""a"",
        ""category"": ""analysis"",
        ""desc"": ""analysis commands are used for examining code structure""
    },
    {
        ""part"": ""b"",
        ""category"": ""basic block"",
        ""desc"": ""narrows down to basic block specific operations""
    },
    {
        ""part"": ""l"",
        ""category"": ""list"",
        ""desc"": ""lists all basic block references in current function""
    }
]
"
Set the calling convention of the `add` function to `cdecl`.	afc cdecl @ sym.add	"
To set a calling convention for a function, we need to modify its function properties. The question specifically wants to set the calling convention to 'cdecl' for the 'add' function. This is a function analysis operation, and since we're working with calling conventions, we'll need the analysis function calling-convention command set. The target location is specified using the symbol name 'sym.add'.
"	"
[
  {
    ""part"": ""a"",
    ""category"": ""analysis"",
    ""desc"": ""analysis commands are used for analyzing code""
  },
  {
    ""part"": ""f"",
    ""category"": ""function"",
    ""desc"": ""function-specific analysis commands""
  },
  {
    ""part"": ""c"",
    ""category"": ""calling convention"",
    ""desc"": ""manage calling conventions for functions""
  },
  {
    ""part"": ""<cdecl>"",
    ""category"": ""argument"",
    ""desc"": ""the specific calling convention to set""
  },
  {
    ""part"": ""@"",
    ""category"": ""address"",
    ""desc"": ""specify target location""
  },
  {
    ""part"": ""<sym.add>"",
    ""category"": ""argument"",
    ""desc"": ""the function name to apply the calling convention to""
  }
]
"
How do I look for functions that might be doing crypto stuff? Like searching for AES or SHA	afl~crypto,aes,sha,md5;iiccx crypto	"
Looking for crypto functions requires a multi-pronged approach. First, we need to list all functions and filter them for crypto-related names. Then we also want to look at imports that might be calling crypto libraries. The command combines these two approaches:

First part uses `afl` to list functions and filters for common crypto terms. The second part after the semicolon uses `iiccx` to show functions calling crypto-related imports.

This is a smart combination because crypto implementations often either have descriptive names or use well-known crypto libraries through imports. The filter looks for common crypto algorithm names like aes, sha, and md5.
"	"
[
  {
    ""part"": ""afl"", 
    ""category"": ""analysis"",
    ""desc"": ""List all functions - this gives us the full function list to search through""
  },
  {
    ""part"": ""~"",
    ""category"": ""grep"",
    ""desc"": ""Filter the function list""
  },
  {
    ""part"": ""<crypto,aes,sha,md5>"",
    ""category"": ""search terms"",
    ""desc"": ""Common crypto algorithm names to search for""
  },
  {
    ""part"": "";"",
    ""category"": ""separator"",
    ""desc"": ""Chain multiple commands""
  },
  {
    ""part"": ""iiccx"",
    ""category"": ""imports"",
    ""desc"": ""Show functions calling imports of a specific class""
  },
  {
    ""part"": ""<crypto>"",
    ""category"": ""argument"",
    ""desc"": ""Look specifically for crypto-related imports""
  }
]
"
How do I get the size of the instruction pointer by the program counter that is going to be executed 	aos@r:PC	"
Looking at this question, we need to find the size of an instruction at a specific address - the program counter (PC). The key elements are:
1. We need the size of an instruction ('o' for opcode)
2. We want it at a specific register (PC)
3. We need to use register syntax (@r:)

The command builds up naturally:
1. 'a' for analysis commands since we're analyzing an instruction
2. 'o' for opcode analysis
3. 's' for size specifically
4. '@r:PC' to specify we want this at the PC register's location
"	"
[
    {
        ""part"": ""a"",
        ""category"": ""analysis"",
        ""desc"": ""analysis command prefix - we're analyzing something""
    },
    {
        ""part"": ""o"",
        ""category"": ""opcode"",
        ""desc"": ""opcode subcommand - we want to analyze an instruction""
    },
    {
        ""part"": ""s"",
        ""category"": ""size"",
        ""desc"": ""size subcommand - specifically get the size""
    },
    {
        ""part"": ""@r:PC"",
        ""category"": ""location"",
        ""desc"": ""specify the location using register syntax, pointing to Program Counter""
    }
]
"
Seek to the next data block (consider changing the block size with the `b` command)	b++	"
When working with data in radare2, we often need to navigate through blocks of data. The question asks about seeking to the next data block, and mentions the block size command 'b'. This immediately suggests we need to move forward by one block size. 

In radare2, seeking is done with 's' commands, and there's a special syntax for seeking by block size. Since we want to go forward one block, we'd use '++' which is a special seek operator that moves forward by the current block size.
"	"
[
    {""part"": ""b"", ""category"": ""block"", ""desc"": ""indicates we're working with blocks of data""},
    {""part"": ""++"", ""category"": ""operators"", ""desc"": ""special operator to seek forward by block size - this is actually a shorthand for 's++' which seeks forward by block size""}
]
"
Seek to the previous data block (consider changing the block size with the `b` command)	b--	"
When working with data in radare2, we often need to navigate through blocks of data. The block size is a fundamental concept that determines how much data we work with at once. To move backward by one block, we need a command that combines the seek functionality with block size awareness. 

The natural thought process is:
1. We want to seek
2. We want to move backwards
3. We want to move by the current block size

This leads us to use the block-based seek command with a double minus to indicate ""backwards by block size"".
"	"
[
  {
    ""part"": ""b"", 
    ""category"": ""block"",
    ""desc"": ""indicates we're working with block operations""
  },
  {
    ""part"": ""--"",
    ""category"": ""movement"",
    ""desc"": ""double minus indicates seek backwards by block size - similar to how s-- works for seeking""
  }
]
"
How to find the distance between `sym.main` and `sym.hello`	?vi sym.main-sym.hello	"
When we need to find the distance between two symbols, we need to calculate their offset difference. The question is asking about the distance between two symbols `sym.main` and `sym.hello`. In radare2, we can use arithmetic operations on symbols directly. 

The command needs to:
1. Calculate the difference between the two symbol addresses (sym.main-sym.hello)
2. Show the result in a way that's easy to read
3. Handle the value interpretation correctly (not just raw hex)

The `v` command family is perfect for this as it handles value printing and calculations, and `vi` specifically interprets the result as a signed integer, which makes sense when looking for a distance that could be positive or negative.
"	"
[
  {
    ""part"": ""v"", 
    ""category"": ""values"",
    ""desc"": ""value processing command to evaluate expressions""
  },
  {
    ""part"": ""i"",
    ""category"": ""format"",
    ""desc"": ""interpret result as signed integer""
  },
  {
    ""part"": ""<sym.main-sym.hello>"",
    ""category"": ""expression"",
    ""desc"": ""arithmetic expression calculating difference between two symbols""
  }
]
"
Considering the current instruction is a branch, jump or call, follow the jump destination	s $j	"
When analyzing code, one of the most common needs is following control flow - especially when looking at branches, jumps or calls. The question indicates we want to follow where a jump/branch/call goes to.

In radare2, the current instruction's jump destination is stored in a special variable $j. So to follow that destination, we need to seek (change our current position) to that address.

The most basic and direct way to do this is using the seek command 's' followed by the address we want to go to. Since we want to go to the jump destination stored in $j, we can use 's $j'.
"	"
[
  {
    ""part"": ""s"",
    ""category"": ""seek"",
    ""desc"": ""The seek command is used to change the current position in the file/memory""
  },
  {
    ""part"": ""<$j>"", 
    ""category"": ""variable"",
    ""desc"": ""Special variable that contains the jump destination address of the current instruction""
  }
]
"
Considering the instruction in the current address is a conditional jump or call, follow the fallback destination when the condition does not match	s $f	"
When dealing with conditional jumps/calls, we need a way to follow the code path when the condition is NOT met (the fallback path). Looking at the current address, we want to seek to where execution would continue if the condition fails.

In assembly, when a conditional instruction fails, execution continues to the next instruction after the jump/call. This is known as the fallback address.

Looking through the command help, we can see that 's' is for seeking, and there's a special flag variable '$f' that contains ""jump fail address (e.g. jz 0x10 => next instruction)"". This is exactly what we need - seeking to the address where execution would continue if the jump fails.
"	"
[
  {
    ""part"": ""s"",
    ""category"": ""seek"",
    ""desc"": ""We need to change current position, so seek command is appropriate""
  },
  {
    ""cmd"": ""$f"",
    ""category"": ""variables"", 
    ""desc"": ""Special flag variable that contains the fallback address for conditional jumps/calls""
  }
]
"
Get the size of the flag named `section.0.__TEXT.__text`	?vi $s{section.0.__TEXT.__text}	"
To get the size of a flag, we need to use the special syntax for flag sizes in radare2. The question is asking for the size of a specific flag related to a text section. The command uses `?v` to evaluate an expression, with `i` for immediate value, and then uses the special syntax `$s{flagname}` which returns the size of the specified flag. This is a common pattern when working with sections and flags in r2.
"	"
[
  {""part"": ""?"", ""category"": ""evaluate"", ""desc"": ""evaluate expressions and print results""},
  {""part"": ""v"", ""category"": ""value"", ""desc"": ""print immediate value""},
  {""part"": ""i"", ""category"": ""immediate"", ""desc"": ""show value as immediate number""},
  {""part"": ""$s{<section.0.__TEXT.__text>}"", ""category"": ""flag_size"", ""desc"": ""get size of specified flag using special syntax""}
]
"
Count the amount of basic blocks the function in the current address have	afi~^num-bbs[1]	"
We need to get information about the function at the current address and specifically extract the number of basic blocks it contains. This is a common analysis task that requires:
1. Getting function information (which is done with `afi`)
2. Filtering the output to find the line containing basic block count
3. Extracting just the number

The command uses `afi` to analyze and get function info, then uses grep (`~`) with `^num-bbs` to match the line starting with ""num-bbs"", and `[1]` to get the second column which contains the actual number.
"	"
[
  {
    ""part"": ""af"", 
    ""category"": ""analysis"",
    ""desc"": ""analyze function command prefix""
  },
  {
    ""part"": ""i"",
    ""category"": ""information"",
    ""desc"": ""get detailed info about current function""
  },
  {
    ""part"": ""~"",
    ""category"": ""grep"",
    ""desc"": ""filter the output with grep""
  },
  {
    ""part"": ""^num-bbs"",
    ""category"": ""regex"",
    ""desc"": ""match line starting with num-bbs""
  },
  {
    ""part"": ""[1]"",
    ""category"": ""column-select"",
    ""desc"": ""select the second column containing the number""
  }
]
"
Count how many instructions this function have	afi~^num-ins[1]	"
To count instructions in a function, we need to analyze function information and filter for the specific field that shows instruction count. Looking at the help, 'afi' provides function information in a detailed format, and we want to extract just the number of instructions. The tilde (~) operator allows us to filter the output, and we want to specifically match the line starting with ""num-ins"" and get its second column (index [1]).
"	"
[
  {
    ""part"": ""af"",
    ""category"": ""analysis"",
    ""desc"": ""analyze function command prefix""
  },
  {
    ""part"": ""i"",
    ""category"": ""information"",
    ""desc"": ""show detailed function information""
  },
  {
    ""part"": ""~"",
    ""category"": ""grep"",
    ""desc"": ""filter output using grep-like syntax""
  },
  {
    ""part"": ""^num-ins"",
    ""category"": ""regex"",
    ""desc"": ""match line starting with 'num-ins'""
  },
  {
    ""part"": ""[1]"",
    ""category"": ""column-select"",
    ""desc"": ""select the second column (the actual number)""
  }
]
"
Lowest address for the current function	afi~^minbound[1]	"
To find the lowest address of the current function, we need to:
1. Get information about the current function
2. Filter that information to find the minimum boundary
3. Extract just the value we need

The command 'afi' gives detailed function information, including boundaries. The filter using '~' with '^minbound' will match the line starting with ""minbound"", and [1] will get the second column which contains the actual address value.
"	"
[
  {
    ""part"": ""af"",
    ""category"": ""analysis"",
    ""desc"": ""analyze function command prefix""
  },
  {
    ""part"": ""i"",
    ""category"": ""information"",
    ""desc"": ""detailed information about current function""
  },
  {
    ""part"": ""~"",
    ""category"": ""filter"",
    ""desc"": ""grep-like filter to search output""
  },
  {
    ""part"": ""^minbound"",
    ""category"": ""regex"",
    ""desc"": ""match line starting with 'minbound'""
  },
  {
    ""part"": ""[1]"",
    ""category"": ""column select"",
    ""desc"": ""select the second column containing the address value""
  }
]
"
Maximum address for the current function	afi~^maxbound[1]	"
To find the maximum address of the current function, we need to:
1. Get function information - that's what 'af' commands do
2. Get detailed info about the function - that's what 'afi' does
3. Filter the output to find the max boundary - need to use grep (~) 
4. Get specifically the first column after ""maxbound"" - that's what [1] does

The command combines function analysis info with grep filtering to extract just the maximum boundary address from the function info output.
"	"
[
  {
    ""part"": ""af"", 
    ""category"": ""analysis_function"",
    ""desc"": ""analyze function command group""
  },
  {
    ""part"": ""i"",
    ""category"": ""info"",
    ""desc"": ""get detailed information about the function""
  },
  {
    ""part"": ""~"",
    ""category"": ""grep"",
    ""desc"": ""filter the output using grep""
  },
  {
    ""part"": ""^maxbound"",
    ""category"": ""regex"",
    ""desc"": ""match lines starting with 'maxbound'""
  },
  {
    ""part"": ""[1]"",
    ""category"": ""column_select"", 
    ""desc"": ""select the first column after the match""
  }
]
"
