command	description
prgl	Decompress the current block using LZ4 algorithm, adjusting the blocksize as needed for decompression
prgi	Display the number of bytes consumed during inflation (decompression) process
prgo	Show the resulting output bytes after inflating (decompressing) the data
ps+[j]	Print C++ std::string, handling same-endian, ASCII, zero-terminated strings (optional JSON output with 'j')
psa	Print any type of string, automatically detecting the format (combines functionality of psp/psw/psW/psz/..)
psb	Print all strings found in the current block, useful for quick string analysis
psi	Print the string at the current seek position, useful for targeted string extraction
psn[l] [len]	Print string until a newline is encountered, with optional length limit
psp	Print a Pascal-style string, where the first byte defines the length of the following string
psq	Alias for 'pqs', printing 4-byte aligned strings
pss	Print string formatted to fit the screen width, wrapping long strings for better readability
pso[j]	Print string constructed from immediates, useful for analyzing Swift strings (optional JSON output)
psu[zj]	Print UTF-16 unicode string, with options for null-termination (z) and JSON output (j)
psw[j]	Print 16-bit wide string, useful for analyzing Unicode strings (optional JSON output)
psW[j]	Print 32-bit wide string, for analyzing wider character encodings (optional JSON output)
psx	Display string with escaped characters, making non-printable characters visible
psz	Print zero-terminated string, stopping at the first null byte
psp1	Print Pascal-style string where the first byte defines the length (same as psp)
psp2	Print Pascal-style string where the first two bytes define the length
psp4	Print Pascal-style string where the first four bytes (respecting endianness) define the length
pspj	Print Pascal-style string in JSON format for easy parsing and analysis
pspw	Print zero-terminated 16-bit wide Pascal string, length in bytes defined by the first byte
pspw1	Print zero-terminated 16-bit wide Pascal string (same as pspw)
pspw2	Print 16-bit wide Pascal string, length defined by first two bytes
pspw4	Print 16-bit wide Pascal string, length defined by first four bytes (respecting endianness)
pspwj	Print 16-bit wide Pascal string in JSON format for structured output
pspW	Print zero-terminated 32-bit wide Pascal string, length in bytes defined by the first byte
pspW1	Print zero-terminated 32-bit wide Pascal string (same as pspW)
pspW2	Print 32-bit wide Pascal string, length defined by first two bytes
pspW4	Print 32-bit wide Pascal string, length defined by first four bytes (respecting endianness)
pspWj	Print 32-bit wide Pascal string in JSON format for advanced analysis
psz*	Generate an r2 command to write the null-terminated string at the current address
pszj	Print zero-terminated string in JSON format, useful for scripting and data extraction
pszl	Print the length of the zero-terminated string at the current address
pt.	Print the current system time in a human-readable format
ptb	Print Swatch Internet Time (BEAT), a decimal time concept dividing the day into 1000 beats
ptd	Print DOS time (32-bit, respecting cfg.bigendian) formatted as date and time since January 1, 1980
pth	Print HFS (Hierarchical File System) time (32-bit, respecting cfg.bigendian) formatted as date and time since January 1, 1904
ptn	Print NTFS (New Technology File System) time (64-bit, respecting cfg.bigendian) formatted as date and time since January 1, 1601
pv1[udj]	Print 1 byte from memory, with options for unsigned decimal (u), signed decimal (d), or JSON (j) format
pv2[udj]	Print 2 bytes from memory, with options for unsigned decimal (u), signed decimal (d), or JSON (j) format
pv4[udj]	Print 4 bytes from memory, with options for unsigned decimal (u), signed decimal (d), or JSON (j) format
pv8[udj]	Print 8 bytes from memory, with options for unsigned decimal (u), signed decimal (d), or JSON (j) format
pvp[udj]	Print 4 or 8 bytes from memory depending on asm.bits setting, with options for unsigned decimal (u), signed decimal (d), or JSON (j) format
pve [1234] ([bsize])	Print value with custom endianness by specifying byte order (1234), optionally setting block size
pvz	Print value as a null-terminated string (equivalent to the 'ps' command)
px--[n]	Display a context-aware hexdump, showing n bytes before and after the current position (similar to pd--3 for disassembly)
px/	Execute GDB-style memory examination (equivalent to x/ in GDB, use 'help x' for more information)
px*	Generate r2 commands to recreate the current hexdump view (similar to pc* or p8*)
px0	Display a list of hexadecimal byte pairs until a null byte (0x00) is encountered
pxa	Show an annotated hexdump with ASCII representation and analysis information
pxA[?]	Display a color-coded operation analysis map of the hexdump (use pxA? for more options)
pxb	Dump memory contents as bits in hexadecimal format
pxB	Dump memory contents as a visual bitmap representation of bits
pxc	Display a hexdump with comments, including references and strings
pxd[?1248]	Show a hexdump of signed integers (1, 2, or 4 bytes), with options for different sizes
pxe	Generate an emoji-based hexdump for a fun and unique visualization of data
pxf	Display a hexdump of the current function's bytes
pxh	Show a hexadecimal dump of 16-bit half-words
pxH	Display a hexadecimal dump of 16-bit half-words, with one half-word per line
pxi	Present data in HexII format, a compact binary representation
pxl	Show a specified number of lines (rows) in the hexdump view
pxo	Display memory contents in octal format
pxq	Show a hexadecimal dump of 64-bit quad-words
pxQ[q]	Display hexadecimal quad-words (64-bit), one per line (q for quiet mode)
pxr[1248][qj]	Show hexadecimal word references with optional size (1,2,4,8 bytes), quiet mode, or JSON output
pxs	Display hexadecimal dump in sparse mode, highlighting only non-zero bytes
pxt[*.] [origin]	Generate delta pointer table as r2 commands, useful for analyzing relative addressing
pxu[?1248]	Print unsigned integer dump with selectable sizes (1, 2, or 4 bytes)
pxw	Display hexadecimal words dump (32-bit), useful for viewing aligned data
pxW[q]	Show hexadecimal words (32-bit) dump, one word per line (q for quiet mode)
pxx	Print a compact hexadecimal dump without ASCII representation
pxX	Display a compact hexadecimal dump of words without ASCII representation
+-*/	Represent basic arithmetic operations in disassembly
->	Indicate a push operation in disassembly output
<-	Represent a pop operation in disassembly view
<<>>	Denote shift operations (left and right) in disassembly
XX	Indicate an invalid or unrecognized instruction in disassembly
_C	Represent a function call instruction in disassembly output
_J	Indicate a jump instruction in disassembly view
_R	Represent a return instruction in disassembly output
cJ	Denote a conditional jump instruction in disassembly
mv	Represent move, load effective address, or load immediate instructions
|&^	Indicate bitwise operations (OR, AND, XOR) in disassembly
e zoom.maxsz	Set the maximum size of the block for zoomed view
e zoom.from	Define the starting address for the zoomed view
e zoom.to	Specify the ending address for the zoomed view
e zoom.byte	Configure the method for calculating each byte in the zoomed view
pz0	Display the count of zero bytes (0x00) in the current block
pzF	Show the number of bytes with value 0xFF in the current block
pze	Calculate and display the entropy of the current block, scaled to 0-255 range
pzf	Count and list the number of flags present in the current block
pzh	Show the first byte value of each unit in the block (default zoom mode)
pzp	Count and display the number of printable characters in the current block
pzs	List all strings found within the current block range
P.	Display information about the currently loaded project (refer to prj.name)
P+ [name]	Save the current project without checking for changes (similar to Ps)
P- [name]	Delete the specified project from the projects directory
P*	Print the current project script as a series of r2 commands
P!([cmd])	Execute a shell command or open a shell in the project's directory
Pc	Close and unload the current project
Pd [N]	Show a diff of the Nth commit in the project's history
Pi [file]	Display detailed information about the specified project file
Pl	List all available projects in the projects directory
Pn -	Open the current project's notes in the configured editor (cfg.editor)
Pn[j]	Manage and display notes associated with the current project (j for JSON output)
Ps [file]	Save the current project to a file (see dir.projects for location)
PS [file]	Save the current r2 script to a file
PS* [name]	Print the specified project's script file as r2 commands (requires a project)
Pz[ie] [zipfile]	Import (i) or export (e) an r2 project as a zip file (.zrp extension)
q!	Force quit radare2 immediately without prompting for confirmation or saving any changes
q!!	Force quit radare2 without saving command history, useful for discarding recent commands
q!!!	Force quit radare2 without freeing any resources, may leave memory leaks but exits quickly
q 1	Quit radare2 with a specific return value of 1, useful for scripting and error handling
q a-b	Quit radare2 with a return value calculated as (a-b), allowing dynamic exit codes
Q	Alias for q!!, force quit without saving command history
rj	Display the current file size in JSON format, useful for scripting and data extraction
r size	Resize the current file to the specified size, either expanding or truncating it
r-num	Remove 'num' bytes from the current position, shifting following data backwards
r+num	Insert 'num' bytes at the current position, shifting following data forwards
r2pm [...]	Execute the r2pm (radare2 package manager) with given arguments, manage r2 packages
rabin2 [...]	Run the rabin2 binary analysis tool with specified arguments, extract file info
radare2 [...]	Launch a new instance of radare2 with given arguments, useful for nested analysis
radiff2 [...]	Execute the radiff2 binary diffing tool with provided arguments, compare files
rafind2 [...]	Run the rafind2 binary search tool with given arguments, search for patterns
rahash2 [...]	Execute the rahash2 hashing tool with specified arguments, calculate file hashes
rasm2 [...]	Run the rasm2 assembler/disassembler with given arguments, manipulate assembly
ravc2 [...]	Execute the ravc2 (radare2 version control) tool with provided arguments
rax2 [...]	Run the rax2 base conversion tool with specified arguments, perform numeric conversions
rb oldbase @ newbase	Rebase all flags, binary information, breakpoints, and analysis results from oldbase to newbase
rm [file]	Remove the specified file from the filesystem
rmrf [file|dir]	Recursively remove a file or directory and its contents
rh	Display file size in a human-readable format (e.g., KB, MB, GB)
r2 [file]	Launch radare2 with the specified file (also works for other r2 tools like rax2, rasm2)
reset	Reset all console settings to their default values (equivalent to a hard clear)
s addr	Seek to the specified memory address
s.	Seek to the current address (equivalent to 's $$')
s:pad	Print the current address with N padded zeros (default is 8 zeros)
s-	Undo the last seek operation
s-*	Clear the entire seek history
s- n	Seek backward by n bytes
s--[n]	Seek backward by one blocksize (or n blocksizes if specified)
s+	Redo the last undone seek operation
s+ n	Seek forward by n bytes
s++[n]	Seek forward by one blocksize (or n blocksizes if specified)
s/ DATA	Search for the next occurrence of 'DATA' starting from current address
s/x 9091	Search for the next occurrence of the hex bytes 90 91
sa ([+-]addr)	Seek to a block-size aligned address (uses current address if not specified)
sb ([addr])	Seek to the beginning of the current or specified basic block
sC[?] string	Seek to the comment matching the given string
sd ([addr])	Display the difference between current seek and all possible reference bases
sf	Seek to the end of the current function (function address + size)
sf function	Seek to the starting address of the specified function
sf.	Seek to the beginning of the current function
sfp	Seek to the function prelude, searching backward up to one blocksize
sff	Seek to the nearest flag in the backward direction (uses fd and ignores delta)
sg/sG	Seek to the beginning (sg) or end (sG) of the current section or file
sh	Open a basic shell with support for basic POSIX syntax, allowing execution of system commands
sl[+-][line]	Seek to a relative line number, use + or - to move forward or backward
sn/sp ([nkey])	Seek to the next or previous location, as defined by the scr.nkey configuration
snp	Seek to the next function prelude, useful for navigating between functions
spp	Seek to the previous function prelude, moving backward through function definitions
so ([[-]N])	Seek N opcodes forward or backward (when N is negative), with a default of 1 opcode
sr PC	Seek to the value stored in a register or its alias, e.g., 'sr PC' seeks to the program counter
ss[?]	Perform a silent seek without adding an entry to the seek history, use '?' for more options
sort [file]	Sort the contents of the specified file or current buffer if no file is given
s..32a8	Seek to the same address but replace the lower nibbles with the specified value (32a8 in this case)
sC*	List all comments in the current file or memory space
sC str	Seek to the first comment that matches the given string 'str'
slc	Clear the line cache, which can be useful for refreshing the view after changes
sll	Display the total number of lines in the current file or disassembly
sleep [seconds]	Pause execution for the specified number of seconds, supporting decimal values for precision
s?	Display help for all seek (s) subcommands, e.g., 'ssr' would show help for silent relative seek
tj	List all loaded types in JSON format, useful for scripting and data extraction
t <type>	Display the specified type using the 'pf' (print formatted) syntax
t*	List all type information as radare2 commands, allowing for easy replication or scripting
t- <name>	Delete the specified type by its name from the loaded type definitions
t-*	Remove all loaded type definitions, clearing the type system
tail([n]) [file]	Display the last n lines of a file (default n=5), useful for viewing the end of logs or large files
tac [file]	Reverse the order of lines in a file, displaying them from bottom to top
tc [type.name]	Display the specified loaded type in C output format with newlines, showing its structure and members
td <string>	Load type definitions from a string, allowing inline type creation (enclose the entire command in quotes: "td ...")
te	List all loaded enumeration types, showing their names and values
tf	Display all loaded function definitions, including their signatures and return types
tk <sdb-query>	Execute an sdb (string database) query, allowing low-level manipulation of radare2's internal databases
tl [typename] = [address]	Link a type to a specific memory address, useful for associating data structures with memory locations
tn	List all loaded types, including structs, enums, and typedefs
to[?] <path>	Load type definitions from a C header file, importing external type information
tp	<type> [addr|varname] Cast and print data at a given address or variable name to the specified type, useful for data interpretation
ts [type]	Show the pf (print format) string for a given struct, displaying its layout and member offsets
tt	List all loaded type definitions (typedefs), showing aliases for complex types
tu [type]	Display the pf (print format) string for a given union, showing its possible interpretations
tx	List all functions and the types they use, providing an overview of type usage in the binary
tcd	List all loaded types in C output format without newlines, useful for compact type information display
tcc	Display all registered calling conventions, showing how function arguments are passed
tcc*	List all calling conventions as radare2 commands, allowing for easy replication or scripting
tcck	Show calling conventions in key=value format, useful for parsing and automation
tccl	List calling convention signatures in the format: return ccname (arg0, arg1, ..) err;
tccj	Display all calling conventions in JSON format, facilitating integration with other tools
tcc <ret> ([args]) ([err])	Define a new function calling convention, specifying return value, arguments, and error handling
tcc r0 pascal(r0,r1,r2)	Define a signature for the Pascal calling convention, using registers r0, r1, and r2 (see also arcc)
tcc-<name>	Unregister (remove) a specific calling convention by its name
tcc-*	Unregister all calling conventions, clearing the entire calling convention database
te <enum>	Display all values and their corresponding names for the specified enumeration
te <enum> <value>	Show the name associated with the given numeric value in the specified enumeration
te-<enum>	Remove the definition of the specified enumeration type from the loaded types
teb <enum> <name>	Display the matching enum bitfield value for the given name within the specified enumeration
tec	List all loaded enumerations in C output format, including newlines for readability
tec <name>	Display the specified loaded enumeration in C output format with newlines
ted	List all loaded enumerations in C output format without newlines, for compact output
tej	List all loaded enumerations in JSON format for easy parsing and data exchange
tej <enum>	Display the specified enumeration in JSON format for programmatic access
test [-x,f,d] [path]	Check if the specified path exists and is executable (-x), a regular file (-f), or a directory (-d)
tf <name>	Display the function signature for the specified function name, including return type and parameters
tfc <name>	Show the function signature for the given function in C syntax, useful for code generation or documentation
tfcj <name>	Display the function signature in JSON format, providing structured data for the specified function
tfj	List all function definitions in JSON format, including their signatures and metadata
tfj <name>	Show the function signature and related information for the specified function in JSON format
tll	Display all type links in a human-readable format, showing connections between types and addresses
tllj	List all type links in a readable JSON format, facilitating programmatic analysis of type associations
tls [address]	Show the type link at the given memory address, revealing type information for specific locations
tl-*	Remove all type links, clearing all associations between types and memory addresses
tl- [address]	Delete the type link at the specified memory address, removing type information for that location
tl*	List all type links in radare2 command format, allowing for easy replication or scripting
tlj	Display all type links in JSON format, providing structured data for type-address associations
tnf	List functions marked as non-returning, equivalent to the command `afl,noret/eq/1`
tn- 0x3000 sym.imp.exit ...	Remove specified no-return references, such as for the exit function at address 0x3000
tn-*	Remove all no-return references, clearing the list of functions marked as non-returning
to -	Open the configured editor (cfg.editor) to manually load or edit type definitions
to <path>	Load type definitions from a specified C header file, importing external type information into radare2
tos <path>	Load type definitions from a pre-parsed Sdb (String DataBase) file, allowing for faster loading of complex type information
toe [type.name]	Open the configured editor (set by cfg.editor) to manually edit the specified type definition or create a new one if it doesn't exist
touch <file>	Create a new file or update the timestamp of an existing file, similar to the Unix 'touch' command
tpv <type> [@addr]	Display the value at the given address (or current address if omitted) formatted according to the specified type, useful for interpreting memory contents
tpx <type> <hexpairs>	Parse and display the given hexadecimal byte sequence as a value of the specified type, allowing inspection of raw data as structured types
ts-[type]	Delete the definition of the specified struct type from the loaded types, removing it from radare2's type system
tsj [type]	Display the print format (pf) string for the given struct in JSON format, useful for programmatic analysis of struct layouts
ts* [type]	Show the print format (pf) string for the given struct in radare2 command syntax, prefixed with 'pf.', facilitating reuse in scripts
tsc<name>	List all loaded structs (or a specific one if <name> is provided) in C output format with newlines, useful for code generation or documentation
tsd	List all loaded struct definitions in C output format without newlines, providing a compact overview of available structs
tss [type]	Display the total size in bytes of the specified struct type, helpful for memory allocation and layout analysis
tt <typename>	Show the actual type name for a given type alias, resolving typedefs to their underlying types
ttj	Display all type aliases (typedefs) and their corresponding actual types in JSON format, facilitating programmatic type analysis
ttc<name>	Show the specified type alias (typedef) in C output format, useful for understanding type relationships
tuj [type]	Display the print format (pf) string for the given union in JSON format, allowing for programmatic analysis of union layouts
tu* [type]	Show the print format (pf) string for the given union in radare2 command syntax, prefixed with 'pf.', useful for scripting
tuc<name>	List all loaded unions (or a specific one if <name> is provided) in C output format with newlines, aiding in code generation or documentation
tud	List all loaded union definitions in C output format without newlines, offering a compact overview of available unions
tx.	List all types used in the current function, equivalent to the 'txf' command without arguments
tx int32_t	List all function names that use the specified type (e.g., int32_t) as an argument or return value
txt int32_t	Alias for 'tx type', listing functions using the specified type
txf ([addr])	List all types used in the current function or the function at the specified address, useful for understanding type usage within a specific context
txl	List all types used by any function in the analyzed binary, providing a comprehensive overview of type usage
txg	Generate and render a graph of type cross-references, visualizing relationships between types (use '.txg;aggv' to display)
T message	Add a new log message to the current session's log
T 123	Display all log entries starting from log ID 123
T 10 3	Show 3 log messages beginning from log ID 10
T*	List all log entries in radare2 command format for scripting
T-	Remove all log entries from the current session
T- 123	Delete all log entries with IDs less than 123
Tl	Retrieve the ID of the most recent log message
Tj	Display all log entries in JSON format for easy parsing
Tm [idx]	Show log messages without their index numbers, optionally starting from a specific index
TT	Launch an interactive text-based chat console for logging
T=[.]	Fetch and synchronize logs from a remote radare2 instance defined by http.sync
T=&	Initiate a background process to continuously sync logs with a remote server
uw	Write changes to disk (alias for 'wc', requires 'e io.cache=true')
us	Navigate backwards through seek history (alias for 's-')
uc	Display a list of all available core undo commands
uid	Show the current process's numeric user ID
uniq	Filter and display only unique rows, removing duplicates
uname	Display basic information about the host operating system
uc w hello,w world	Manually add a new undo command with multiple write operations
uc*	List all core undo operations as radare2 commands for scripting
ucu	Undo the previous action (move up in undo history)
ucd	Redo a previously undone action (move down in undo history)
uc-	Revert the most recent action in the undo history
uc.	Show all available undo operations for the current state
uname -a	Display comprehensive system information including kernel version, hardware details, and operating system
uname -j	Output system information in JSON format for easy parsing and integration with other tools
uname -b	Show the size of the machine's CPU register in bits (e.g., 32 or 64)
uname -m	Display the machine's CPU architecture name (e.g., x86_64, arm64)
uname -r	Show the specific version of the operating system kernel
w foobar	Write the string 'foobar' at the current seek position in the file or memory
w+string	Write the given string and automatically move the cursor to the byte after its null terminator
w0 [len]	Fill 'len' bytes with null (0x00) values starting from the current position
w6[d|e|x] base64/string/hex	Write data in various formats: [d]ecode base64, [e]ncode to base64, or write [x] hex string
wa[?] push ebp	"Write assembly instruction(s), use ';' as separator and '""' for commands with spaces"
waf f.asm	Assemble all instructions from the specified file and write the resulting machine code
waF f.asm	Assemble file contents, write the bytes, and display the 'wx' command with hexadecimal representation
wao [op]	Perform specific modifications on the current opcode (e.g., nop, trap, swap conditionals)
wb 011001	Write the given bits in big-endian order (see 'pb' command for reading bits)
wB[-]0xVALUE	Set or unset (with '-') specific bits using the given hexadecimal value
wc	Display a list of all write changes made in the current cache layer
wd [off] [n]	Copy N bytes from the specified offset to the current seek position (similar to memcpy)
we[?] [nNsxX] [arg]	Extend write operations by inserting data instead of replacing it. Supports various data types (nNsxX) and optional arguments.
wf[fs] -|file	Write the contents of a specified file at the current offset in the target file or memory.
wg[et] [http://host/file]	Download a file from an HTTP server and save it to disk, similar to the wget command.
wh r2	Execute the 'whereis' or 'which' shell command to locate the radare2 binary in the system path.
wm f0ff	Set a binary mask using hexadecimal pairs to be used as a cyclic write mask for subsequent write operations.
wo[?] hex	Perform various bitwise operations on the current block using the specified hexadecimal value. Use 'wo?' for more information.
wp[?] -|file	Apply a radare2 patch file to modify the current file or memory. See 'wp?' for detailed usage instructions.
wr 10	Write 10 random bytes at the current offset, useful for generating random data or fuzzing.
ws[?] pstring	Write a Pascal-style string: 1 byte for length followed by N bytes for the string content.
wt[?][afs] [filename] [size]	Write data to a file, starting from the current seek position. Options for append, force, and specifying size.
ww foobar	Write a wide string (UTF-16) 'foobar' with null bytes between each character.
wx[?][fs] 9090	Write hexadecimal values directly. In this example, write two x86 NOP instructions (90 90).
wX 1b2c3d	Fill the current block with repeating cyclic hexadecimal pairs (1b2c3d in this case).
wv[?] eip+34	Write a 32-bit or 64-bit value at the current offset, respecting the cfg.bigendian setting.
wu [unified-diff-patch]	Apply a unified diff patch to the current file or memory. Similar to the 'cu' command.
wz string	Write a zero-terminated string (equivalent to writing the string followed by a null byte)
wa nop	Write a no-operation (NOP) instruction using the current architecture and bit mode settings
wai jmp 0x8080	Write the specified instruction inside the current opcode, filling with NOPs if space remains or returning an error if it doesn't fit
wan jmp 0x8080	Write the specified instruction(s) and NOP the remaining bytes of the current opcode
wa+ nop	Write a NOP instruction and move the cursor to the next position (e.g., 7wa+nop writes 7 consecutive NOPs)
wa* mov eax, 33	Display the 'wx' command with hexadecimal representation of the assembled opcode
'wa nop;nop	Assemble and write multiple instructions in a single command (note the surrounding single quotes)
waF* f.asm	Assemble all instructions from the specified file and display the 'wx' command with hexadecimal representation of the assembled code
wao?	Show help information for available assembler operations on the current opcode
wao+[op]	Perform the specified assembler operation and move the cursor forward after writing
wao nop	Replace the current opcode with a NOP instruction
wao jinf	Assemble an infinite loop at the current position
wao jz	Convert the current opcode to a conditional jump if zero (equivalent to je)
wao jnz	Convert the current opcode to a conditional jump if not zero (equivalent to jne)
wao ret1	Modify the current opcode to return 1
wao ret0	Modify the current opcode to return 0
wao retn	Modify the current opcode to return -1
wao nocj	Remove the conditional part of a branch instruction, making it unconditional
wao trap	Replace the current opcode with a trap instruction
wao recj	Reverse (swap) the condition of a conditional branch instruction
wc*	Generate and print radare2 commands to replicate all patches in the current cache layer
wc**	Generate and print radare2 commands to replicate patches from all cache layers, not just the current one
wc+ [from] [to]	Commit changes from the cache to the underlying I/O, optionally specifying a range with [from] and [to] addresses
wc++	Create and push a new I/O cache layer onto the stack, allowing for nested modifications
wc- [from] [to]	Remove a specific write operation at the current seek or given address range
wc--	Remove (pop) the most recent I/O cache layer, discarding its changes
wcU	Redo a previously undone change (functionality not yet implemented)
wca	Display a comprehensive list of all write changes across all cache layers
wcd	Show all write changes in a disassembly diff format, highlighting modifications
wcf [file]	Write the contents of the current write cache to the specified file
wci	Commit all pending write operations in the cache to the underlying I/O
wcj	Output all write changes in JSON format for easy parsing and processing
wcl	Display a list of all active I/O cache layers
wcp [fd]	List all cached write operations on the physical layer for the specified file descriptor or current fd
wcp* [fd]	Generate radare2 commands for all cached write operations on the physical layer
wcpi [fd]	Commit and invalidate the physical cache for the specified file descriptor or current fd
wcr	Revert all write operations stored in the cache, undoing all pending changes
wcs	Combine consecutive write operations in the cache to optimize storage and application
wcu	Undo the most recent change in the write cache, reverting to the previous state
wen <num>	Extend the underlying file by inserting <num> null bytes at the current offset, effectively increasing the file size
weN <addr> <len>	Extend the current file by inserting <len> bytes at the specified <addr>, shifting existing data
wes <addr> <dist> <block_size>	Shift a block of data of size <block_size> at <addr> by <dist> bytes left or right, or open in editor
wex <hex_bytes>	Insert the specified hexadecimal bytes at the current offset by extending the file
weX <addr> <hex_bytes>	Insert the specified hexadecimal bytes at the given address by extending the file
wo2	Perform a 2-byte (word) endian swap on the current block
wo4	Perform a 4-byte (dword) endian swap on the current block
wo8	Perform an 8-byte (qword) endian swap on the current block
woa [hexpair]	Perform addition operation with the specified hex value (e.g., woa 0102 adds 0x0102 to each byte)
woA [hexpair]	Perform bitwise AND operation with the specified hex value
wod [hexpair]	Perform division operation with the specified hex value
woD [algo] [key] [IV]	Decrypt the current block using the specified algorithm, key, and initialization vector (IV)
woE [algo] [key] [IV]	Encrypt the current block using the specified algorithm, key, and initialization vector (IV)
woe [from] ([to] [step] [wsz=1])	Write an enumeration sequence starting from [from], optionally specifying [to], [step], and word size
woi	Invert (bitwise NOT) all bytes in the current block
wol [val]	Perform a bitwise left shift operation by [val] bits
wom [val]	Perform multiplication operation with the specified value
woo [val]	Perform bitwise OR operation with the specified value
wop[DO] [arg]	Generate and write De Bruijn patterns, useful for buffer overflow testing and exploit development
wor [val]	Perform a bitwise right shift operation by [val] bits
woR	Write random bytes to the current block (equivalent to 'wr $b')
wos [val]	Perform subtraction operation with the specified value
woS [algo] [key]	Sign the current block using the specified algorithm and key
wow [val]	Write a looped value, repeating [val] throughout the block (alias for 'wb')
wox [val]	Perform bitwise XOR operation with the specified value (e.g., wox 0x90 XORs each byte with 0x90)
ws str	Write a Pascal string, using the first byte to store the length of the string
ws1 str	Write a Pascal string with a 1-byte length prefix
ws2 str	Write a Pascal string with a 2-byte (ut16) length prefix, respecting the cfg.bigendian setting
ws4 str	Write a Pascal string with a 4-byte (ut32) length prefix, respecting the cfg.bigendian setting
wta [filename]	Append the current block to the specified file, creating it if it doesn't exist
wtf [filename] [size]	Write the current block or specified size to a file (related to 'wxf' and 'wf?' commands)
wtf! [filename]	Write data from the current address to the end of file, ignoring any specified size
wtff [prefix] [size]	Write a block from the current seek to a file named "<prefix>-<offset>"
wts host:port [size]	Send data to a remote TCP socket specified by host:port
wx 3.	Modify the left nibble (4 bits) of the current byte
wx .5	Modify the right nibble (4 bits) of the current byte
wx+ 9090	Write the specified hex pairs and move the cursor forward
wxf -|file	Write the contents of a file containing hex pairs to the current address
wv 0x834002	Write a 32-bit (dword) value at the current address
wv1 234	Write a single byte with the specified value
wv2 234	Write a 16-bit unsigned short (2 bytes) with the specified value
wv4 1 2 3	Write multiple space-separated 32-bit (dword) values
wv8 234	Write a 64-bit (qword) value at the current address
wvp 934	Write a pointer (4 or 8 bytes, depending on asm.bits) with the specified value
wvf 3.14	Write a 32-bit float value at the current address
wvF 3.14	Write a 64-bit double value at the current address
wvG 3.14	Write a long double value (10 or 16 bytes, depending on the architecture) at the current address
y!	Open the configured editor (cfg.editor) to modify the contents of the clipboard
y 16 0x200	Copy 16 bytes from address 0x200 into the clipboard
y 16	Copy 16 bytes from the current address into the clipboard
y*	Print the contents of the clipboard formatted as radare2 commands
y-	Clear the clipboard, removing all its contents
y8	Display the contents of the clipboard as hexadecimal pairs
yf [L] [O] [file]	Copy L bytes from offset O of the specified file into the clipboard
yfa [filepath]	Copy the entire contents of the specified file into the clipboard
yfx 10203040	Copy the specified hexadecimal bytes (10203040) into the clipboard (equivalent to ywx)
yj	Print the contents of the clipboard in JSON format
yp	Display the raw contents of the clipboard
ys	Display the contents of the clipboard interpreted as a string
yt 64 0x200	Copy 64 bytes from the current seek position to address 0x200
ytf file	Write the contents of the clipboard to the specified file
yw hello world	Copy the specified string ("hello world") into the clipboard
ywx 10203040	Copy the specified hexadecimal bytes (10203040) into the clipboard (equivalent to yfx)
yx	Display the contents of the clipboard in hexadecimal format
yy 0x3344	Paste the contents of the clipboard at address 0x3344
yy	Paste the contents of the clipboard at the current seek position
yz [len]	Copy a null-terminated string (up to the specified length or blocksize) into the clipboard
z ([addr])	Display or list zignatures (function signatures) at the specified address or current offset if not provided
z.	Find and display zignatures matching the current offset
z,([:help])	List loaded zignatures in a table format, with optional help information (use z,:help for details)
zb [n]	Find and display the n closest matching zignatures to the function at the current offset
zdzignature	Compare and show differences between the current function and the specified zignature
z* ([addr])	Display zignatures in radare2 command format, optionally at the specified address
zq ([addr])	Display zignatures in quiet mode, showing minimal information
zj ([addr])	Display zignatures in JSON format for easy parsing and processing
zk	Display zignatures in SDB (String Database) format
z-zignature	Delete the specified zignature from the current zignspace
z-*	Delete all zignatures from the current zignspace
za[?]	Add a new zignature (use za? for more options and information)
zg	Generate zignatures for all functions in the binary (alias for zaF)
zo[?]	Manage zignature files, including loading and saving (use zo? for more options)
zf[?]	Manage FLIRT (Fast Library Identification and Recognition Technology) signatures (use zf? for more options)
z/	Search for matching zignatures within a specified range and flag the matches
zc[?]	Compare zignatures in the current zignspace with another zignspace (use zc? for more options)
zs	Display all available zignspaces (named collections of zignatures)
zi [text]	Show detailed information about zignatures matching the specified text
zbr zigname [n]	Search for the n most similar functions to the specified zignature name
za zigname type params	Add a new zignature with the given name, type, and parameters
zac	Compute and display collisions between existing zignatures
zaf [fcnname] [zigname]	Create a zignature for the specified function, optionally with a custom name
zaF	Generate zignatures for all functions in the binary
zaM	Generate zignatures for all functions and merge signatures with the same name
za??	Display extended help information for zignature-related commands
zo filename	Load zignatures from the specified SDB file
zoz filename	Load zignatures from a gzipped SDB file
zos filename	Save current zignatures to an SDB file, merging with existing content if the file exists
zfd filename	Open a FLIRT signature file and dump its contents
zfs filename	Open a FLIRT signature file and scan the binary for matches
zfs /path/**.sig	Recursively search for FLIRT signature files and scan them (depth controlled by dir.depth)
zfz filename	Open a FLIRT signature file and output radare2 zignature commands (useful for conversion)
z/f	Search for zignature matches among known functions in the binary
z/*	Search for zignature matches within a specified range and output results as radare2 commands
zc other_space	Compare all zignatures in the current zignspace with those in the specified other_space
zcn other_space	Compare zignatures in current zignspace with matching named ones in other_space
zcn! other_space	Compare zignatures between spaces and show only those that don't match
zs zignspace	Switch to the specified zignspace (named collection of zignatures)
zs *	Select and activate all available zignspaces
